REF_AREA,COMP_BREAKDOWN_1,year,value_usd,OBS_STATUS
FRA,IMF_CNT_COUNTRY_924,2011,2181.98,A
FRA,IMF_CNT_COUNTRY_924,2012,713.079,A
FRA,IMF_CNT_COUNTRY_924,2013,1415.71,A
FRA,IMF_CNT_COUNTRY_924,2014,1367.46,A
FRA,IMF_CNT_COUNTRY_924,2015,1587.56,A
FRA,IMF_CNT_COUNTRY_924,2016,2838.41,A
FRA,IMF_CNT_COUNTRY_924,2017,3874.3,A
FRA,IMF_CNT_COUNTRY_924,2018,2893.14,A
FRA,IMF_CNT_COUNTRY_924,2019,3160.97,A
FRA,IMF_CNT_COUNTRY_924,2020,3616.86,A
FRA,IMF_CNT_COUNTRY_924,2021,3344.71,A
FRA,IMF_CNT_COUNTRY_924,2022,3353.43,A
FRA,IMF_CNT_COUNTRY_924,2023,3467.66,A
GBR,IMF_CNT_COUNTRY_924,2009,1000.85,A
GBR,IMF_CNT_COUNTRY_924,2010,627.766,A
GBR,IMF_CNT_COUNTRY_924,2011,1181.22,A
GBR,IMF_CNT_COUNTRY_924,2012,1761.05,A
GBR,IMF_CNT_COUNTRY_924,2013,1564.46,A
GBR,IMF_CNT_COUNTRY_924,2014,2233.5,A
GBR,IMF_CNT_COUNTRY_924,2015,3350.58,A
GBR,IMF_CNT_COUNTRY_924,2016,1874.82,A
GBR,IMF_CNT_COUNTRY_924,2017,3102.24,A
GBR,IMF_CNT_COUNTRY_924,2018,4576.73,A
GBR,IMF_CNT_COUNTRY_924,2019,4302.54,A
GBR,IMF_CNT_COUNTRY_924,2020,4207.17,A
GBR,IMF_CNT_COUNTRY_924,2021,5765.87,A
GBR,IMF_CNT_COUNTRY_924,2022,5208.55,A
GBR,IMF_CNT_COUNTRY_924,2023,5411.31,A
GEO,IMF_CNT_COUNTRY_924,2009,42.4531,A
GEO,IMF_CNT_COUNTRY_924,2010,34.5711,A
GEO,IMF_CNT_COUNTRY_924,2011,44.2142,A
GEO,IMF_CNT_COUNTRY_924,2013,170.214,A
GEO,IMF_CNT_COUNTRY_924,2014,388.159,A
GEO,IMF_CNT_COUNTRY_924,2015,589.719,A
GEO,IMF_CNT_COUNTRY_924,2016,602.297,A
GEO,IMF_CNT_COUNTRY_924,2017,622.854,A
GEO,IMF_CNT_COUNTRY_924,2018,688.794,A
GEO,IMF_CNT_COUNTRY_924,2019,719.775,A
GEO,IMF_CNT_COUNTRY_924,2020,662.648,A
GEO,IMF_CNT_COUNTRY_924,2021,620.075,A
GEO,IMF_CNT_COUNTRY_924,2022,674.582,A
GEO,IMF_CNT_COUNTRY_924,2023,774.437,A
GHA,IMF_CNT_COUNTRY_924,2009,185.24,A
GHA,IMF_CNT_COUNTRY_924,2010,-1.65699,A
GHA,IMF_CNT_COUNTRY_924,2011,-34.7819,A
GHA,IMF_CNT_COUNTRY_924,2012,107.761,A
GHA,IMF_CNT_COUNTRY_924,2013,149.581,A
GHA,IMF_CNT_COUNTRY_924,2014,4.59961,A
GHA,IMF_CNT_COUNTRY_924,2015,23.308,A
GHA,IMF_CNT_COUNTRY_924,2016,435.601,A
GHA,IMF_CNT_COUNTRY_924,2017,544.541,A
GHA,IMF_CNT_COUNTRY_924,2018,4.29788,A
GHA,IMF_CNT_COUNTRY_924,2019,147.841,A
GHA,IMF_CNT_COUNTRY_924,2020,6.55729,A
GHA,IMF_CNT_COUNTRY_924,2021,212.298,A
GHA,IMF_CNT_COUNTRY_924,2022,148.68,A
GHA,IMF_CNT_COUNTRY_924,2023,292.524,A
GIN,IMF_CNT_COUNTRY_924,2018,31.571,A
GIN,IMF_CNT_COUNTRY_924,2019,77.8904,A
GIN,IMF_CNT_COUNTRY_924,2020,521.65,A
GIN,IMF_CNT_COUNTRY_924,2021,289.335,A
GIN,IMF_CNT_COUNTRY_924,2022,684.863,A
GIN,IMF_CNT_COUNTRY_924,2023,1149.23,A
GNB,IMF_CNT_COUNTRY_924,2011,0.0,A
GNB,IMF_CNT_COUNTRY_924,2012,0.0,A
GNB,IMF_CNT_COUNTRY_924,2016,0.0,A
GNB,IMF_CNT_COUNTRY_924,2017,0.0,A
GNB,IMF_CNT_COUNTRY_924,2018,0.0,A
